subject,body,category
Receta pendiente,Su receta médica está lista para entrega.,salud
Seguimiento a candidato,El candidato avanza a la siguiente fase del proceso.,trabajo
Recordatorio final,Último aviso para cargar el archivo solicitado hoy.,urgente
Solicitud de soporte interno,Se requiere apoyo del área técnica para instalar el software.,trabajo
Renovación urgente,Debe renovar su afiliación hoy para evitar la suspensión.,urgente
Asignación de tareas,Se asignan nuevas tareas para el sprint de esta semana.,trabajo
Fecha de examen final,Se informa la fecha del examen final de matemáticas.,educacion
Recordando viejos tiempos,Encontré unas fotos antiguas y quise compartirlas contigo.,otros
Matrícula abierta,Ya está habilitado el proceso de matrícula para el siguiente semestre.,educacion
Pendiente crítico,Queda pendiente una firma indispensable para cerrar el contrato hoy.,urgente
Resultado de admisión,Consulte el resultado del proceso de admisión universitaria.,educacion
Reunión de seguimiento del proyecto,Se agenda reunión con el equipo para revisar avances y tareas pendientes.,trabajo
Recordatorio social,No olvides traer algo para compartir mañana.,otros
Cita reprogramada con prioridad,Su cita médica fue adelantada para hoy por disponibilidad de agenda.,urgente
Anuncio promocional,Producto nuevo con precio reducido solo hoy.,spam
Plan para el sábado,Estamos organizando una salida para este sábado.,otros
Seleccionado para premio,No dejes pasar esta recompensa exclusiva.,spam
Atención prioritaria,Su solicitud fue remitida al área de atención prioritaria.,salud
Valoración clínica,Debe asistir a valoración clínica inicial.,salud
Material de estudio,Adjuntamos la guía de estudio del curso de programación.,educacion
Felicidades ganador,Tu correo fue escogido para recibir un bono especial.,spam
Consulta virtual,Puede conectarse a su consulta virtual desde el enlace adjunto.,salud
Aviso de suspensión,El servicio será suspendido hoy si no se regulariza el pago.,urgente
Hazte rico hoy,Conoce el secreto para multiplicar tus ingresos en pocos días.,spam
Fotos del fin de semana,Comparto algunas fotos del viaje del fin de semana.,otros
Mensaje de amistad,"Espero que estés muy bien, te mando un abrazo.",otros
Exámenes anuales,Recuerde programar sus exámenes anuales.,salud
Nota definitiva,Se publica la nota definitiva de la asignatura.,educacion
Encuentro familiar,La reunión familiar quedó para el lunes festivo.,otros
Recomendación personal,Te recomiendo una película que vi el fin de semana.,otros
Validación inmediata,Complete la validación del formulario antes de las 2 pm.,urgente
Convocatoria auxiliar administrativo,Hay una nueva vacante para auxiliar administrativo.,trabajo
Examen diagnóstico,Debe presentarse en ayunas para el examen diagnóstico.,salud
Compra ahora,Adquiere el producto con promoción especial.,spam
Capacitación empresarial,Invitación a capacitación sobre comunicación en equipos de trabajo.,trabajo
Sorteo internacional,Participa y gana un teléfono de última generación.,spam
Calendario académico,Compartimos el calendario académico actualizado.,educacion
Tutoría programada,Su tutoría quedó programada para el martes.,educacion
Incapacidad médica,Adjuntamos incapacidad expedida por tres días.,salud
Pago pendiente hoy,Debe realizar el pago hoy antes de las 5 pm para evitar suspensión del servicio.,urgente
Recompensa disponible,Tu recompensa está lista para ser activada.,spam
Caso prioritario,Su caso fue marcado como prioritario por el área de soporte.,urgente
Celebración especial,Este mes tendremos una pequeña celebración en casa.,otros
Felicitaciones,Muchas felicidades por tu cumpleaños y tus logros.,otros
Oferta irrepetible,Miles de personas ya aprovecharon esta oportunidad.,spam
Clase virtual reprogramada,La clase de hoy se realizará en un nuevo horario.,educacion
Invitación casual,Te espero esta noche para conversar un rato.,otros
Evaluación docente,Participe en la evaluación docente del semestre.,educacion
Inducción corporativa,Bienvenido a la jornada de inducción para nuevos colaboradores.,trabajo
Invitación a reunión informal,Nos veremos para tomar café en la tarde.,otros
Actualización de contrato,Se envía actualización del contrato laboral para revisión.,trabajo
Seminario universitario,Está invitado al seminario sobre innovación educativa.,educacion
Saludo especial,Solo quería saludarte y desearte una buena semana.,otros
Asistencia a clase,Se reporta novedad en su registro de asistencia.,educacion
Haz clic aquí,No pierdas el acceso a esta promoción secreta.,spam
Vacunación disponible,Se informa disponibilidad de jornada de vacunación.,salud
Invitación a celebración,Nos reuniremos para celebrar el logro de un amigo.,otros
Documento faltante urgente,Hace falta enviar el documento firmado hoy mismo para continuar el trámite.,urgente
Compartir recuerdos,Encontré recuerdos bonitos y quise enviártelos.,otros
Bloqueo temporal de cuenta,Su cuenta será bloqueada si no actualiza la información hoy.,urgente
Invitación a almuerzo,¿Te gustaría ir a almorzar mañana al mediodía?,otros
Actualización de cronograma,Adjunto cronograma actualizado de actividades del área.,trabajo
Entrega de ensayo,Se recuerda la entrega del ensayo académico.,educacion
Gana dinero rápido,Haz clic ahora y recibe ingresos sin esfuerzo desde casa.,spam
Compra suplementos,Resultados sorprendentes con descuento especial.,spam
Recordatorio de consulta,Le recordamos su consulta médica para mañana.,salud
Entrega de documentos laborales,Por favor remitir copia de documentos de ingreso.,trabajo
Instrucciones prequirúrgicas,Le compartimos instrucciones previas al procedimiento.,salud
Visita programada,Pasaremos a visitarte el próximo fin de semana.,otros
Noticias personales,Quería contarte algunas novedades de la casa.,otros
Oferta laboral desarrollador junior,Empresa busca desarrollador junior con conocimientos en Python y SQL.,trabajo
Aviso importante hoy,Debe acercarse hoy a la oficina principal para completar el proceso.,urgente
Promoción especial para ti,Hemos reservado una oferta especial para tu cuenta.,spam
Orden médica,Se emite orden médica para radiografía.,salud
Convocatoria beca estudiantil,Se abre convocatoria para becas de excelencia académica.,educacion
Práctica de laboratorio,Información sobre la práctica de laboratorio de química.,educacion
Dinero extra fácil,Obtén ingresos inmediatos sin experiencia.,spam
Reunión con docentes,Invitación a encuentro virtual con docentes y coordinadores.,educacion
Cambio importante,Hubo un cambio importante en el procedimiento para hoy.,urgente
Examen especializado,Se confirmó la fecha del examen especializado.,salud
Confirmación de asistencia,Confirmo mi asistencia al evento familiar.,otros
Reporte de productividad,Se comparte reporte de productividad del equipo.,trabajo
Control de salud,Recuerde asistir al control médico programado.,salud
Confirmación inmediata,Por favor confirme asistencia antes del mediodía para reservar el cupo.,urgente
Invitación a cumpleaños,Te invitamos a celebrar este sábado con familia y amigos.,otros
Historia clínica,Puede solicitar copia de su historia clínica.,salud
Acta de comité,Adjuntamos el acta del comité realizado esta mañana.,trabajo
Publicidad de casino,Gira la ruleta y recibe bonos exclusivos.,spam
Notificación de EPS,Su EPS actualizó el estado de su solicitud.,salud
Mensaje informal,Solo paso a saludarte y a saber cómo vas.,otros
Aviso general,Te informo que ya regresé del viaje.,otros
Premio asegurado,Solo confirma tus datos para reclamar el premio.,spam
